question,intent
개발자랑 디자이너랑 어떻게 소통하는지 배워?,파트_기획
기획 파트 지원하려면 아이디어 많아야 돼?,파트_기획
기획 파트 커리큘럼 궁금해,파트_기획
기획 파트 세션은 어떻게 진행돼?,파트_기획
기획 파트 과제 많아?,파트_기획
기획 파트 포트폴리오 뭘로 만들어?,파트_기획
서비스 흐름 설계라는 게 뭐야?,파트_기획
기획 파트는 피그마 안 써?,파트_기획
기획 파트가 PM/PO 역할 하는 거야?,파트_기획
기획 파트 지원서 팁 좀 줘,파트_기획
평소에 문제 해결에 관심 많으면 기획 파트가 좋아?,파트_기획
기획 파트도 팀 프로젝트 해?,파트_기획
기획 파트의 최종 목표가 뭐야?,파트_기획
아이디어 구체화는 어떻게 해?,파트_기획
사용자 페르소나 설정하는 법 알려줘?,파트_기획
기획 파트 재밌어?,파트_기획
기획 파트 경쟁률 높아?,파트_기획
기획 파트의 주요 커리큘럼은 어떻게 구성되어 있나요?,파트_기획
기획 파트에서는 구체적으로 어떤 활동을 하나요?,파트_기획
서비스 기획의 전 과정을 경험할 수 있는지 궁금합니다.,파트_기획
기획 파트에서 사용하는 주요 툴이나 방법론이 있습니까?,파트_기획
"타 파트(디자인, 개발)와의 협업은 어떤 방식으로 이루어지나요?",파트_기획
기획 파트 활동을 통해 어떤 역량을 기를 수 있나요?,파트_기획
기획 파트 지원 시 우대되는 경험이나 역량이 있습니까?,파트_기획
아이디어 발굴부터 스토리보드 작성까지 모두 배우게 되나요?,파트_기획
기획 파트?뭐 배워 ,파트_기획
기획 는자무슨 일 해?,파트_기획
기목 파트의 최종 획표가 뭐야?,파트_기획
스토리보드나 르소나 이런페거 만들어?,파트_기획
떻비스 기획 어서게 하는지 배워?,파트_기획
서비스 흐름설 계라는 게 뭐야?,파트_기획
디자인 파트에서는 뭐 배워?,파트_디자인
디자인 파트 뭐하는 곳이야?,파트_디자인
디자인 파트 활동 내용 궁금해,파트_디자인
피그마 쓸 줄 알아야 돼?,파트_디자인
디자인 파트 가면 피그마 알려줘?,파트_디자인
UI/UX 디자인 배우는 거 맞아?,파트_디자인
프로토타입 만드는 것도 해?,파트_디자인
디자인 파트도 코딩 배워?,파트_디자인
포토샵이나 일러스트도 써?,파트_디자인
디자인 툴 아예 모르는데 가도 돼?,파트_디자인
디자인 파트 커리큘럼 알려줘,파트_디자인
와이어프레임이 뭐야? 그것도 배워?,파트_디자인
디자인 파트 과제는 주로 뭐야?,파트_디자인
디자인 파트 포트폴리오는 뭘로 쌓아?,파트_디자인
기획 파트랑 개발 파트랑 협업은 어떻게 해?,파트_디자인
디자인 파트 지원서에 뭐 써야 돼?,파트_디자인
평소에 예쁜 앱/웹 관심 많으면 디자인 파트가 좋아?,파트_디자인
디자인 감각 없어도 따라갈 수 있어?,파트_디자인
"사용자 입장에서 생각하는 능력을 기른다는데, 구체적으로 어케?",파트_디자인
디자인 파트 세션은 실습 위주야?,파트_디자인
디자인 파트 경쟁률 세?,파트_디자인
디자인 파트 지원할 때 포트폴리오 내야 해?,파트_디자인
UI랑 UX 차이도 알려줘?,파트_디자인
디자인이 처음이어도 괜찮다며?,파트_디자인
피그마 말고 다른 툴도 배워?,파트_디자인
디자인 파트 분위기 어때?,파트_디자인
디자인 파트의 교육 커리큘럼에 대해 알고 싶습니다.,파트_디자인
디자인 파트에서 주로 다루는 툴은 무엇인가요? (Figma 등),파트_디자인
UI/UX 디자인에 대한 이론과 실습이 모두 진행되나요?,파트_디자인
프로토타입 제작 및 와이어프레임 설계 과정을 배우는지 궁금합니다.,파트_디자인
디자인 파트 지원을 위해 사전 지식이나 툴 사용 경험이 필수적인가요?,파트_디자인
기획 및 개발 파트와의 협업 프로세스는 어떻게 구성되어 있나요?,파트_디자인
디자인 파트 활동을 통해 어떤 결과물(포트폴리오)을 얻을 수 있습니까?,파트_디자인
사용자 경험(UX) 중심의 디자인을 배우는 것이 맞나요?,파트_디자인
프로토타입 것드는 만도 해?,파트_디자인
랑IU UX 차이도 알려줘?,파트_디자인
디자인 파트 ?트폴리오는 뭘로 쌓아포,파트_디자인
디?인 파트 경쟁률 세자,파트_디자인
디자인기파트 분위 어때?,파트_디자인
일토샵이나 포러스트도 써?,파트_디자인
